rho,pair,mae
1.809781723501713985e-02,5.016949152542372614e-01,1.829275901474462671e+02
3.627264645826839828e-01,6.338983050847457612e-01,1.591792927172222107e+02
2.271853652906406784e-02,5.050847457627118953e-01,1.717728161583516737e+02
5.999233883437596893e-01,7.355932203389830004e-01,1.076221175871487361e+02
-4.774743270515160315e-02,5.322033898305085220e-01,1.506366317458041522e+02
-5.005779235217506784e-01,3.322033898305084554e-01,2.260219004109284526e+02
-5.506357158739257768e-02,4.847457627118644252e-01,1.807471774726742240e+02
1.497883171153546467e-01,6.135593220338982912e-01,1.571143747982824834e+02
-3.746633227589719062e-01,3.694915254237288171e-01,2.023814079099727223e+02
-3.273009499949908890e-02,5.220338983050847315e-01,1.573215709656435308e+02
-1.232191811745847881e-01,4.711864406779661119e-01,1.785076566080390990e+02
